"name","bio"
"Jim Keller","Jim Keller is a legendary microprocessor engineer, having worked at AMD, Apple, Tesla, and now Intel"
"Robert Langer","Robert Langer is a professor at MIT and one of the most cited researchers in history, specializing in biotechnology fields of drug delivery systems and tissue engineering"
"David Sinclair","David Sinclair is a geneticist at Harvard and author of Lifespan"
"Ian Goodfellow",""
"Jack Dorsey","Jack Dorsey is the co-founder and CEO of Twitter and the founder and CEO of Square"
"Jeffrey Shainline","Jeffrey Shainline is a physicist at NIST"
"Yoshua Bengio",""
"Lu","Luis and Joao Batalha are co-founders of Fermat's Library"
"Jim Keller","Jim Keller is a legendary microprocessor engineer, previously at AMD, Apple, Tesla, Intel, and now Tenstorrent"
"Kevin Scott",""
"Richard Karp","Richard Karp is a professor at Berkeley and one of the key figures in the history of theoretical computer science"
"Pamela McCorduck",""
"Rosalind Picard",""
"Chris Lattner",""
"Michael Mina","Michael Mina is an immunologist, epidemiologist, and physician at Harvard"
"Konstantin Batygin","Konstantin Batygin is a planetary astrophysicist at Caltech"
"Jocko Willink","Jocko Willink is a retired Navy SEAL, co-author of Extreme Ownership, and host of Jocko Podcast"
"Ayanna Howard","Ayanna Howard is a roboticist and professor at Georgia Tech, director of Human-Automation Systems lab, with research interests in human-robot interaction, assistive robots in the home, therapy gaming apps, and remote robotic exploration of extreme environments"
"Dan Carlin","Dan Carlin is a historian, political thinker, and podcaster"
"Douglas Lenat","Douglas Lenat is the founder of Cyc, a 37 year project aiming to solve common-sense knowledge and reasoning in AI"
"Pieter Abbeel",""
"Po","Po-Shen Loh is a mathematician at CMU and coach of the USA International Math Olympiad team"
"Michio Kaku",""
"Travis Stevens","Travis Stevens is the 2016 Olympic Judo silver medalist and BJJ black belt"
"Harry Cliff","Harry Cliff is a particle physicist at the University of Cambridge working on the Large Hadron Collider beauty experiment that specializes in searching for hints of new particles and forces by studying a type of particle called the ""beauty quark"", or ""b quark"""
"Nick Bostrom","Nick Bostrom is a philosopher at University of Oxford and the director of the Future of Humanity Institute"
"Sara Walker","Sara Walker is an astrobiologist and theoretical physicist interested in the origin of life"
"Judea Pearl",""
"Bjarne Stroustrup",""
"Eric Weinstein","Eric Weinstein is a mathematical physicist, podcaster, and intellectual"
"Manolis Kellis","Manolis Kellis is a professor at MIT and head of the MIT Computational Biology Group"
"James Gosling","James Gosling is the founder and lead designer of the Java programming language"
"Rob Reid","Rob Reid is an author and podcaster"
"Matt Botvinick","Matt Botvinick is the Director of Neuroscience Research at DeepMind"
"Rick Doblin","Rick Doblin is a psychedelics researcher and the founder and executive director of the Multidisciplinary Association for Psychedelic Studies (MAPS)"
"Fran",""
"Jeremi Suri","Jeremi Suri is a historian at UT Austin"
"Tim Dillon","Tim Dillon is a comedian and podcaster"
"Manolis Kellis","Manolis Kellis is a professor at MIT and head of the MIT Computational Biology Group"
"Daniel Kahneman",""
"Richard Wrangham","Richard Wrangham is a biological anthropologist at Harvard, specializing in the study of primates and the evolution of violence, sex, cooking, culture, and other aspects of ape and human behavior"
"Yeonmi Park","Yeonmi Park is a North Korean defector, human rights activist, and author of the book In Order to Live"
"Sertac Karaman","Sertac Karaman is a professor at MIT, co-founder of the autonomous vehicle company Optimus Ride, and is one of top roboticists in the world, including robots that drive and robots that fly"
"Guido van Rossum",""
"Vitalik Buterin","Vitalik Buterin is co-creator of Ethereum and ether, which is a cryptocurrency that is currently the second-largest digital currency after bitcoin"
"Kate Darling","Kate Darling is a researcher at MIT, interested in social robotics, robot ethics, and generally how technology intersects with society"
"Risto Miikkulainen","Risto Miikkulainen is a computer scientist at UT Austin"
"Steven Pinker",""
"Yannis Pappas","Yannis Pappas is a comedian and podcaster"
"Niels Jorgensen","Niels Jorgensen is a former New York firefighter for over 21 years, who was there at Ground Zero on September 11th, 2001"
"Rohit Prasad",""
